          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
2530 d364 rol r1, r3, r3 // icount 4760
2532 f390 sle r4, r3, r4 // icount 4761
2534 d3c9 sll r2, r3, r6 // icount 4762
2536 df81 sub r0, r7, r4 // icount 4763
2538 d69c rol r7, r6, r4 // icount 4764
253a d108 rol r2, r1, r0 // icount 4765
253c d169 sll r2, r1, r3 // icount 4766
253e e060 seq r0, r0, r3 // icount 4767
2540 d392 ror r4, r3, r4 // icount 4768
2542 e8fc slt r7, r0, r7 // icount 4769
2544 f388 sle r2, r3, r4 // icount 4770
2546 ed20 slt r0, r5, r1 // icount 4771
2548 dbc0 add r0, r3, r6 // icount 4772
254a d0e9 sll r2, r0, r7 // icount 4773
254c f1c0 sle r0, r1, r6 // icount 4774
254e d110 rol r4, r1, r0 // icount 4775
2550 f5b8 sle r6, r5, r5 // icount 4776
2552 dd51 sub r4, r5, r2 // icount 4777
2554 d2fb srl r6, r2, r7 // icount 4778
2556 dc68 add r2, r4, r3 // icount 4779
2558 dca9 sub r2, r4, r5 // icount 4780
255a ea04 slt r1, r2, r0 // icount 4781
255c d5df srl r7, r5, r6 // icount 4782
255e d6e6 ror r1, r6, r7 // icount 4783
2560 d390 rol r4, r3, r4 // icount 4784
2562 f628 sle r2, r6, r1 // icount 4785
2564 e614 seq r5, r6, r0 // icount 4786
2566 d641 sll r0, r6, r2 // icount 4787
2568 dc74 add r5, r4, r3 // icount 4788
256a d601 sll r0, r6, r0 // icount 4789
256c d978 add r6, r1, r3 // icount 4790
256e ff34 sco r5, r7, r1 // icount 4791
2570 df2a xor r2, r7, r1 // icount 4792
2572 d879 sub r6, r0, r3 // icount 4793
2574 d809 sub r2, r0, r0 // icount 4794
2576 d04c rol r3, r0, r2 // icount 4795
2578 dccf andn r3, r4, r6 // icount 4796
257a d1a0 rol r0, r1, r5 // icount 4797
257c dfa7 andn r1, r7, r5 // icount 4798
257e d41e ror r7, r4, r0 // icount 4799
2580 d5f7 srl r5, r5, r7 // icount 4800
2582 dae0 add r0, r2, r7 // icount 4801
2584 da3c add r7, r2, r1 // icount 4802
2586 dc31 sub r4, r4, r1 // icount 4803
2588 efe0 slt r0, r7, r7 // icount 4804
258a df4d sub r3, r7, r2 // icount 4805
258c d1d3 srl r4, r1, r6 // icount 4806
258e e5bc seq r7, r5, r5 // icount 4807
2590 ddb5 sub r5, r5, r5 // icount 4808
2592 ee04 slt r1, r6, r0 // icount 4809
2594 de13 andn r4, r6, r0 // icount 4810
2596 d890 add r4, r0, r4 // icount 4811
2598 d9e5 sub r1, r1, r7 // icount 4812
259a d3e6 ror r1, r3, r7 // icount 4813
259c fd3c sco r7, r5, r1 // icount 4814
259e e1a8 seq r2, r1, r5 // icount 4815
25a0 ed6c slt r3, r5, r3 // icount 4816
25a2 da87 andn r1, r2, r4 // icount 4817
25a4 d5cb srl r2, r5, r6 // icount 4818
25a6 f34c sle r3, r3, r2 // icount 4819
25a8 d22c rol r3, r2, r1 // icount 4820
25aa dac5 sub r1, r2, r6 // icount 4821
25ac da08 add r2, r2, r0 // icount 4822
25ae f5dc sle r7, r5, r6 // icount 4823
25b0 e80c slt r3, r0, r0 // icount 4824
25b2 db70 add r4, r3, r3 // icount 4825
25b4 de97 andn r5, r6, r4 // icount 4826
25b6 dc5b andn r6, r4, r2 // icount 4827
25b8 fb84 sco r1, r3, r4 // icount 4828
25ba dd8a xor r2, r5, r4 // icount 4829
25bc      .rlabel_115:
25bc 208a j .rlabel_116 // icount 4830
25be db6a xor r2, r3, r3 // icount 4831
25c0 d397 srl r5, r3, r4 // icount 4832
25c2 e4a4 seq r1, r4, r5 // icount 4833
25c4 f07c sle r7, r0, r3 // icount 4834
25c6 dff4 add r5, r7, r7 // icount 4835
25c8 f284 sle r1, r2, r4 // icount 4836
25ca d894 add r5, r0, r4 // icount 4837
25cc e594 seq r5, r5, r4 // icount 4838
25ce f990 sco r4, r1, r4 // icount 4839
25d0 d9c8 add r2, r1, r6 // icount 4840
25d2 da31 sub r4, r2, r1 // icount 4841
25d4 f714 sle r5, r7, r0 // icount 4842
25d6 f250 sle r4, r2, r2 // icount 4843
25d8 e20c seq r3, r2, r0 // icount 4844
25da dc52 xor r4, r4, r2 // icount 4845
25dc deef andn r3, r6, r7 // icount 4846
25de dc9c add r7, r4, r4 // icount 4847
25e0 e974 slt r5, r1, r3 // icount 4848
25e2 fc24 sco r1, r4, r1 // icount 4849
25e4 db74 add r5, r3, r3 // icount 4850
25e6 de54 add r5, r6, r2 // icount 4851
25e8 f6fc sle r7, r6, r7 // icount 4852
25ea e364 seq r1, r3, r3 // icount 4853
25ec d18b srl r2, r1, r4 // icount 4854
25ee e5bc seq r7, r5, r5 // icount 4855
25f0 df56 xor r5, r7, r2 // icount 4856
25f2 d144 rol r1, r1, r2 // icount 4857
25f4 ee70 slt r4, r6, r3 // icount 4858
25f6 d087 srl r1, r0, r4 // icount 4859
25f8 d65e ror r7, r6, r2 // icount 4860
25fa d148 rol r2, r1, r2 // icount 4861
25fc d237 srl r5, r2, r1 // icount 4862
25fe de54 add r5, r6, r2 // icount 4863
2600 e364 seq r1, r3, r3 // icount 4864
2602 d795 sll r5, r7, r4 // icount 4865
2604 d12e ror r3, r1, r1 // icount 4866
2606 dcdb andn r6, r4, r6 // icount 4867
2608 d16f srl r3, r1, r3 // icount 4868
260a d13f srl r7, r1, r1 // icount 4869
260c d163 srl r0, r1, r3 // icount 4870
260e dd60 add r0, r5, r3 // icount 4871
2610 e054 seq r5, r0, r2 // icount 4872
2612 dff9 sub r6, r7, r7 // icount 4873
2614 e2b0 seq r4, r2, r5 // icount 4874
2616 d069 sll r2, r0, r3 // icount 4875
2618 e3a4 seq r1, r3, r5 // icount 4876
261a f048 sle r2, r0, r2 // icount 4877
261c d1d6 ror r5, r1, r6 // icount 4878
261e debd sub r7, r6, r5 // icount 4879
2620 db65 sub r1, r3, r3 // icount 4880
2622 d5b3 srl r4, r5, r5 // icount 4881
2624 f5ec sle r3, r5, r7 // icount 4882
2626 dded sub r3, r5, r7 // icount 4883
2628 da76 xor r5, r2, r3 // icount 4884
262a e228 seq r2, r2, r1 // icount 4885
262c d249 sll r2, r2, r2 // icount 4886
262e f108 sle r2, r1, r0 // icount 4887
2630 dd8a xor r2, r5, r4 // icount 4888
2632 dc52 xor r4, r4, r2 // icount 4889
2634 eccc slt r3, r4, r6 // icount 4890
2636 dc37 andn r5, r4, r1 // icount 4891
2638 d2b5 sll r5, r2, r5 // icount 4892
263a d822 xor r0, r0, r1 // icount 4893
263c d317 srl r5, r3, r0 // icount 4894
263e d458 rol r6, r4, r2 // icount 4895
2640 dfad sub r3, r7, r5 // icount 4896
2642 da1f andn r7, r2, r0 // icount 4897
2644 d0c9 sll r2, r0, r6 // icount 4898
2646 ec08 slt r2, r4, r0 // icount 4899
2648      .rlabel_116:
2648 2060 j .rlabel_117 // icount 4900
264a e0e0 seq r0, r0, r7 // icount 4901
264c f68c sle r3, r6, r4 // icount 4902
264e e190 seq r4, r1, r4 // icount 4903
2650 fd34 sco r5, r5, r1 // icount 4904
2652 db00 add r0, r3, r0 // icount 4905
2654 d751 sll r4, r7, r2 // icount 4906
2656 ff38 sco r6, r7, r1 // icount 4907
2658 d58f srl r3, r5, r4 // icount 4908
265a d40b srl r2, r4, r0 // icount 4909
265c d443 srl r0, r4, r2 // icount 4910
265e ed70 slt r4, r5, r3 // icount 4911
2660 dc46 xor r1, r4, r2 // icount 4912
2662 d43e ror r7, r4, r1 // icount 4913
2664 d70e ror r3, r7, r0 // icount 4914
2666 d32e ror r3, r3, r1 // icount 4915
2668 dbbd sub r7, r3, r5 // icount 4916
266a d52f srl r3, r5, r1 // icount 4917
266c db20 add r0, r3, r1 // icount 4918
266e f570 sle r4, r5, r3 // icount 4919
2670 d71d sll r7, r7, r0 // icount 4920
2672 d4b3 srl r4, r4, r5 // icount 4921
2674 edd4 slt r5, r5, r6 // icount 4922
2676 db27 andn r1, r3, r1 // icount 4923
2678 d9eb andn r2, r1, r7 // icount 4924
267a de6f andn r3, r6, r3 // icount 4925
267c d16e ror r3, r1, r3 // icount 4926
267e d1d7 srl r5, r1, r6 // icount 4927
2680 ff20 sco r0, r7, r1 // icount 4928
2682 f158 sle r6, r1, r2 // icount 4929
2684 de44 add r1, r6, r2 // icount 4930
2686 e518 seq r6, r5, r0 // icount 4931
2688 e290 seq r4, r2, r4 // icount 4932
268a da10 add r4, r2, r0 // icount 4933
268c d9a8 add r2, r1, r5 // icount 4934
268e dd26 xor r1, r5, r1 // icount 4935
2690 e878 slt r6, r0, r3 // icount 4936
2692 dded sub r3, r5, r7 // icount 4937
2694 dd79 sub r6, r5, r3 // icount 4938
2696 f1a8 sle r2, r1, r5 // icount 4939
2698 deef andn r3, r6, r7 // icount 4940
269a e04c seq r3, r0, r2 // icount 4941
269c df8f andn r3, r7, r4 // icount 4942
269e f9f8 sco r6, r1, r7 // icount 4943
26a0 de20 add r0, r6, r1 // icount 4944
26a2 dc77 andn r5, r4, r3 // icount 4945
26a4 de92 xor r4, r6, r4 // icount 4946
26a6 d758 rol r6, r7, r2 // icount 4947
26a8 dc6a xor r2, r4, r3 // icount 4948
26aa      .rlabel_117:
26aa 20ba j .rlabel_118 // icount 4949
26ac da5b andn r6, r2, r2 // icount 4950
26ae d9c9 sub r2, r1, r6 // icount 4951
26b0 e03c seq r7, r0, r1 // icount 4952
26b2 d1ff srl r7, r1, r7 // icount 4953
26b4 ff18 sco r6, r7, r0 // icount 4954
26b6 d247 srl r1, r2, r2 // icount 4955
26b8 dc3d sub r7, r4, r1 // icount 4956
26ba ddb5 sub r5, r5, r5 // icount 4957
26bc df39 sub r6, r7, r1 // icount 4958
26be f36c sle r3, r3, r3 // icount 4959
26c0 d22a ror r2, r2, r1 // icount 4960
26c2 da6e xor r3, r2, r3 // icount 4961
26c4 dcbc add r7, r4, r5 // icount 4962
26c6 f428 sle r2, r4, r1 // icount 4963
26c8 d38b srl r2, r3, r4 // icount 4964
26ca f078 sle r6, r0, r3 // icount 4965
26cc d07f srl r7, r0, r3 // icount 4966
26ce d867 andn r1, r0, r3 // icount 4967
26d0 d562 ror r0, r5, r3 // icount 4968
26d2 d766 ror r1, r7, r3 // icount 4969
26d4 d1f9 sll r6, r1, r7 // icount 4970
26d6 e924 slt r1, r1, r1 // icount 4971
26d8 d893 andn r4, r0, r4 // icount 4972
26da d573 srl r4, r5, r3 // icount 4973
26dc fed4 sco r5, r6, r6 // icount 4974
26de ea20 slt r0, r2, r1 // icount 4975
26e0 d49a ror r6, r4, r4 // icount 4976
26e2 de84 add r1, r6, r4 // icount 4977
26e4 fcd8 sco r6, r4, r6 // icount 4978
26e6 db97 andn r5, r3, r4 // icount 4979
26e8 d123 srl r0, r1, r1 // icount 4980
26ea df6b andn r2, r7, r3 // icount 4981
26ec f1cc sle r3, r1, r6 // icount 4982
26ee e3a0 seq r0, r3, r5 // icount 4983
26f0 e0c0 seq r0, r0, r6 // icount 4984
26f2 d259 sll r6, r2, r2 // icount 4985
26f4 d1fc rol r7, r1, r7 // icount 4986
26f6 d5b9 sll r6, r5, r5 // icount 4987
26f8 e44c seq r3, r4, r2 // icount 4988
26fa d509 sll r2, r5, r0 // icount 4989
26fc f7d8 sle r6, r7, r6 // icount 4990
26fe dc48 add r2, r4, r2 // icount 4991
2700 d40d sll r3, r4, r0 // icount 4992
2702 defe xor r7, r6, r7 // icount 4993
2704 d362 ror r0, r3, r3 // icount 4994
2706 d1c9 sll r2, r1, r6 // icount 4995
2708 d408 rol r2, r4, r0 // icount 4996
270a e51c seq r7, r5, r0 // icount 4997
270c d333 srl r4, r3, r1 // icount 4998
270e ea84 slt r1, r2, r4 // icount 4999
2710 e644 seq r1, r6, r2 // icount 5000
2712 d397 srl r5, r3, r4 // icount 5001
2714 ee44 slt r1, r6, r2 // icount 5002
2716 e2a4 seq r1, r2, r5 // icount 5003
2718 ec5c slt r7, r4, r2 // icount 5004
271a eedc slt r7, r6, r6 // icount 5005
271c ddac add r3, r5, r5 // icount 5006
271e de40 add r0, r6, r2 // icount 5007
2720 e154 seq r5, r1, r2 // icount 5008
2722 dd71 sub r4, r5, r3 // icount 5009
2724 d4a2 ror r0, r4, r5 // icount 5010
2726 d618 rol r6, r6, r0 // icount 5011
2728 d555 sll r5, r5, r2 // icount 5012
272a da25 sub r1, r2, r1 // icount 5013
272c db06 xor r1, r3, r0 // icount 5014
272e df78 add r6, r7, r3 // icount 5015
2730 d1bc rol r7, r1, r5 // icount 5016
2732 d823 andn r0, r0, r1 // icount 5017
2734 d26f srl r3, r2, r3 // icount 5018
2736 ea94 slt r5, r2, r4 // icount 5019
2738 daa2 xor r0, r2, r5 // icount 5020
273a dfac add r3, r7, r5 // icount 5021
273c e118 seq r6, r1, r0 // icount 5022
273e d65e ror r7, r6, r2 // icount 5023
2740 d0bb srl r6, r0, r5 // icount 5024
2742 da87 andn r1, r2, r4 // icount 5025
2744 d7ef srl r3, r7, r7 // icount 5026
2746 d66b srl r2, r6, r3 // icount 5027
2748 d949 sub r2, r1, r2 // icount 5028
274a d723 srl r0, r7, r1 // icount 5029
274c ddb3 andn r4, r5, r5 // icount 5030
274e dd65 sub r1, r5, r3 // icount 5031
2750 f748 sle r2, r7, r2 // icount 5032
2752 d8b8 add r6, r0, r5 // icount 5033
2754 d097 srl r5, r0, r4 // icount 5034
2756 d2f5 sll r5, r2, r7 // icount 5035
2758 f8e0 sco r0, r0, r7 // icount 5036
275a db04 add r1, r3, r0 // icount 5037
275c d1a7 srl r1, r1, r5 // icount 5038
275e df70 add r4, r7, r3 // icount 5039
2760 d54c rol r3, r5, r2 // icount 5040
2762 d5aa ror r2, r5, r5 // icount 5041
2764 d9aa xor r2, r1, r5 // icount 5042
2766      .rlabel_118:
2766 6008 beqz r0, .rlabel_119 // icount 5043
2768 e19c seq r7, r1, r4 // icount 5044
276a dbce xor r3, r3, r6 // icount 5045
276c d185 sll r1, r1, r4 // icount 5046
276e e9bc slt r7, r1, r5 // icount 5047
2770      .rlabel_119:
2770 20e8 j .rlabel_120 // icount 5048
2772 e748 seq r2, r7, r2 // icount 5049
2774 d59d sll r7, r5, r4 // icount 5050
2776 d8e3 andn r0, r0, r7 // icount 5051
2778 dd03 andn r0, r5, r0 // icount 5052
277a fc88 sco r2, r4, r4 // icount 5053
277c d974 add r5, r1, r3 // icount 5054
277e de0d sub r3, r6, r0 // icount 5055
2780 d799 sll r6, r7, r4 // icount 5056
2782 e184 seq r1, r1, r4 // icount 5057
2784 f748 sle r2, r7, r2 // icount 5058
2786 eddc slt r7, r5, r6 // icount 5059
2788 f728 sle r2, r7, r1 // icount 5060
278a d081 sll r0, r0, r4 // icount 5061
278c d7f1 sll r4, r7, r7 // icount 5062
278e f720 sle r0, r7, r1 // icount 5063
2790 d3a1 sll r0, r3, r5 // icount 5064
2792 d21c rol r7, r2, r0 // icount 5065
2794 d79d sll r7, r7, r4 // icount 5066
2796 df2f andn r3, r7, r1 // icount 5067
2798 d4f8 rol r6, r4, r7 // icount 5068
279a d662 ror r0, r6, r3 // icount 5069
279c d172 ror r4, r1, r3 // icount 5070
279e dc50 add r4, r4, r2 // icount 5071
27a0 d298 rol r6, r2, r4 // icount 5072
27a2 f6f4 sle r5, r6, r7 // icount 5073
27a4 d1fc rol r7, r1, r7 // icount 5074
27a6 d709 sll r2, r7, r0 // icount 5075
27a8 fde8 sco r2, r5, r7 // icount 5076
27aa db49 sub r2, r3, r2 // icount 5077
27ac d41d sll r7, r4, r0 // icount 5078
27ae ee20 slt r0, r6, r1 // icount 5079
27b0 d72e ror r3, r7, r1 // icount 5080
27b2 eddc slt r7, r5, r6 // icount 5081
27b4 f130 sle r4, r1, r1 // icount 5082
27b6 d996 xor r5, r1, r4 // icount 5083
27b8 dc07 andn r1, r4, r0 // icount 5084
27ba da90 add r4, r2, r4 // icount 5085
27bc da00 add r0, r2, r0 // icount 5086
27be d4f4 rol r5, r4, r7 // icount 5087
27c0 edf8 slt r6, r5, r7 // icount 5088
27c2 fd58 sco r6, r5, r2 // icount 5089
27c4 ee18 slt r6, r6, r0 // icount 5090
27c6 e280 seq r0, r2, r4 // icount 5091
27c8 df57 andn r5, r7, r2 // icount 5092
27ca d39c rol r7, r3, r4 // icount 5093
27cc d473 srl r4, r4, r3 // icount 5094
27ce d256 ror r5, r2, r2 // icount 5095
27d0 f22c sle r3, r2, r1 // icount 5096
27d2 d1b7 srl r5, r1, r5 // icount 5097
27d4 dcfe xor r7, r4, r7 // icount 5098
27d6 f1e0 sle r0, r1, r7 // icount 5099
27d8 d9b2 xor r4, r1, r5 // icount 5100
27da d07c rol r7, r0, r3 // icount 5101
27dc dc8b andn r2, r4, r4 // icount 5102
27de e004 seq r1, r0, r0 // icount 5103
27e0 d9e0 add r0, r1, r7 // icount 5104
27e2 e15c seq r7, r1, r2 // icount 5105
27e4 f404 sle r1, r4, r0 // icount 5106
27e6 d9c2 xor r0, r1, r6 // icount 5107
27e8 fe84 sco r1, r6, r4 // icount 5108
27ea d87c add r7, r0, r3 // icount 5109
27ec e614 seq r5, r6, r0 // icount 5110
27ee dc8b andn r2, r4, r4 // icount 5111
27f0 f8ec sco r3, r0, r7 // icount 5112
27f2 de3d sub r7, r6, r1 // icount 5113
27f4 d44b srl r2, r4, r2 // icount 5114
27f6 d7f4 rol r5, r7, r7 // icount 5115
27f8 d1d8 rol r6, r1, r6 // icount 5116
27fa d94c add r3, r1, r2 // icount 5117
27fc df86 xor r1, r7, r4 // icount 5118
27fe d621 sll r0, r6, r1 // icount 5119
2800 d6a4 rol r1, r6, r5 // icount 5120
2802 f428 sle r2, r4, r1 // icount 5121
2804 d8fb andn r6, r0, r7 // icount 5122
2806 dfcc add r3, r7, r6 // icount 5123
2808 d9da xor r6, r1, r6 // icount 5124
280a e358 seq r6, r3, r2 // icount 5125
280c d9bf andn r7, r1, r5 // icount 5126
280e f558 sle r6, r5, r2 // icount 5127
2810 df6d sub r3, r7, r3 // icount 5128
2812 d6d7 srl r5, r6, r6 // icount 5129
2814 d93e xor r7, r1, r1 // icount 5130
2816 d5d5 sll r5, r5, r6 // icount 5131
2818 ee4c slt r3, r6, r2 // icount 5132
281a d677 srl r5, r6, r3 // icount 5133
281c faec sco r3, r2, r7 // icount 5134
281e e11c seq r7, r1, r0 // icount 5135
2820 f474 sle r5, r4, r3 // icount 5136
2822 eef0 slt r4, r6, r7 // icount 5137
2824 ef14 slt r5, r7, r0 // icount 5138
2826 d469 sll r2, r4, r3 // icount 5139
2828 f728 sle r2, r7, r1 // icount 5140
282a de16 xor r5, r6, r0 // icount 5141
282c f1cc sle r3, r1, r6 // icount 5142
282e d051 sll r4, r0, r2 // icount 5143
2830 d343 srl r0, r3, r2 // icount 5144
2832 d5d5 sll r5, r5, r6 // icount 5145
2834 d175 sll r5, r1, r3 // icount 5146
2836 e02c seq r3, r0, r1 // icount 5147
2838 de1c add r7, r6, r0 // icount 5148
283a f094 sle r5, r0, r4 // icount 5149
283c d3b5 sll r5, r3, r5 // icount 5150
283e eac8 slt r2, r2, r6 // icount 5151
2840 ff78 sco r6, r7, r3 // icount 5152
2842 d69c rol r7, r6, r4 // icount 5153
2844 d9ba xor r6, r1, r5 // icount 5154
2846 d9e9 sub r2, r1, r7 // icount 5155
2848 f634 sle r5, r6, r1 // icount 5156
284a dff7 andn r5, r7, r7 // icount 5157
284c d02e ror r3, r0, r1 // icount 5158
284e d555 sll r5, r5, r2 // icount 5159
2850 f8cc sco r3, r0, r6 // icount 5160
2852 e148 seq r2, r1, r2 // icount 5161
2854 d3c0 rol r0, r3, r6 // icount 5162
2856 d939 sub r6, r1, r1 // icount 5163
2858 e960 slt r0, r1, r3 // icount 5164
285a      .rlabel_120:
285a 2060 j .rlabel_121 // icount 5165
285c d78b srl r2, r7, r4 // icount 5166
285e daa5 sub r1, r2, r5 // icount 5167
2860 d365 sll r1, r3, r3 // icount 5168
2862 e6d4 seq r5, r6, r6 // icount 5169
2864 f958 sco r6, r1, r2 // icount 5170
2866 d285 sll r1, r2, r4 // icount 5171
2868 dbe6 xor r1, r3, r7 // icount 5172
286a d446 ror r1, r4, r2 // icount 5173
286c ff94 sco r5, r7, r4 // icount 5174
286e d818 add r6, r0, r0 // icount 5175
2870 dd70 add r4, r5, r3 // icount 5176
2872 d391 sll r4, r3, r4 // icount 5177
2874 fbb4 sco r5, r3, r5 // icount 5178
2876 d178 rol r6, r1, r3 // icount 5179
2878 e5a4 seq r1, r5, r5 // icount 5180
287a eff8 slt r6, r7, r7 // icount 5181
287c ff84 sco r1, r7, r4 // icount 5182
287e d099 sll r6, r0, r4 // icount 5183
2880 d1b9 sll r6, r1, r5 // icount 5184
2882 f524 sle r1, r5, r1 // icount 5185
2884 fcb8 sco r6, r4, r5 // icount 5186
2886 dd0f andn r3, r5, r0 // icount 5187
2888 d0e3 srl r0, r0, r7 // icount 5188
288a d9ac add r3, r1, r5 // icount 5189
288c d367 srl r1, r3, r3 // icount 5190
288e dca9 sub r2, r4, r5 // icount 5191
2890 d350 rol r4, r3, r2 // icount 5192
2892 dd43 andn r0, r5, r2 // icount 5193
2894 df51 sub r4, r7, r2 // icount 5194
2896 d32c rol r3, r3, r1 // icount 5195
2898 de6a xor r2, r6, r3 // icount 5196
289a da7f andn r7, r2, r3 // icount 5197
289c da36 xor r5, r2, r1 // icount 5198
289e d73c rol r7, r7, r1 // icount 5199
28a0 d76f srl r3, r7, r3 // icount 5200
28a2 db11 sub r4, r3, r0 // icount 5201
28a4 d55e ror r7, r5, r2 // icount 5202
28a6 dd74 add r5, r5, r3 // icount 5203
28a8 d6dc rol r7, r6, r6 // icount 5204
28aa ec34 slt r5, r4, r1 // icount 5205
28ac dccc add r3, r4, r6 // icount 5206
28ae db8e xor r3, r3, r4 // icount 5207
28b0 d91a xor r6, r1, r0 // icount 5208
28b2 e0a0 seq r0, r0, r5 // icount 5209
28b4 f2a4 sle r1, r2, r5 // icount 5210
28b6 d1c2 ror r0, r1, r6 // icount 5211
28b8 d9aa xor r2, r1, r5 // icount 5212
28ba d629 sll r2, r6, r1 // icount 5213
28bc      .rlabel_121:
28bc 6010 beqz r0, .rlabel_122 // icount 5214
28be d410 rol r4, r4, r0 // icount 5215
28c0 e294 seq r5, r2, r4 // icount 5216
28c2 f800 sco r0, r0, r0 // icount 5217
28c4 f2e8 sle r2, r2, r7 // icount 5218
28c6 dc36 xor r5, r4, r1 // icount 5219
28c8 d7ad sll r3, r7, r5 // icount 5220
28ca d76d sll r3, r7, r3 // icount 5221
28cc dc7f andn r7, r4, r3 // icount 5222
28ce      .rlabel_122:
28ce 720a bltz r2, .rlabel_123 // icount 5223
28d0 d84e xor r3, r0, r2 // icount 5224
28d2 da48 add r2, r2, r2 // icount 5225
28d4 ec24 slt r1, r4, r1 // icount 5226
28d6 e050 seq r4, r0, r2 // icount 5227
28d8 d4a4 rol r1, r4, r5 // icount 5228
28da      .rlabel_123:
28da 20f0 j .rlabel_124 // icount 5229
28dc fad0 sco r4, r2, r6 // icount 5230
28de de67 andn r1, r6, r3 // icount 5231
28e0 d1bd sll r7, r1, r5 // icount 5232
28e2 d798 rol r6, r7, r4 // icount 5233
28e4 d6b7 srl r5, r6, r5 // icount 5234
28e6 e178 seq r6, r1, r3 // icount 5235
28e8 d709 sll r2, r7, r0 // icount 5236
28ea fad0 sco r4, r2, r6 // icount 5237
28ec df3a xor r6, r7, r1 // icount 5238
28ee db5e xor r7, r3, r2 // icount 5239
28f0 dcd3 andn r4, r4, r6 // icount 5240
28f2 dffa xor r6, r7, r7 // icount 5241
28f4 d295 sll r5, r2, r4 // icount 5242
28f6 dbbd sub r7, r3, r5 // icount 5243
28f8 d6c0 rol r0, r6, r6 // icount 5244
28fa d959 sub r6, r1, r2 // icount 5245
28fc d490 rol r4, r4, r4 // icount 5246
28fe e244 seq r1, r2, r2 // icount 5247
2900 fc38 sco r6, r4, r1 // icount 5248
2902 df3b andn r6, r7, r1 // icount 5249
2904 edd4 slt r5, r5, r6 // icount 5250
2906 facc sco r3, r2, r6 // icount 5251
2908 dfcd sub r3, r7, r6 // icount 5252
290a fbe8 sco r2, r3, r7 // icount 5253
290c dd75 sub r5, r5, r3 // icount 5254
290e da86 xor r1, r2, r4 // icount 5255
2910 d995 sub r5, r1, r4 // icount 5256
2912 dc49 sub r2, r4, r2 // icount 5257
2914 d739 sll r6, r7, r1 // icount 5258
2916 ec18 slt r6, r4, r0 // icount 5259
2918 d751 sll r4, r7, r2 // icount 5260
291a f484 sle r1, r4, r4 // icount 5261
291c d19c rol r7, r1, r4 // icount 5262
291e db6f andn r3, r3, r3 // icount 5263
2920 ddc5 sub r1, r5, r6 // icount 5264
2922 e2dc seq r7, r2, r6 // icount 5265
2924 d385 sll r1, r3, r4 // icount 5266
2926 de22 xor r0, r6, r1 // icount 5267
2928 d492 ror r4, r4, r4 // icount 5268
292a d669 sll r2, r6, r3 // icount 5269
292c d220 rol r0, r2, r1 // icount 5270
292e f44c sle r3, r4, r2 // icount 5271
2930 da6d sub r3, r2, r3 // icount 5272
2932 fb84 sco r1, r3, r4 // icount 5273
2934 d26d sll r3, r2, r3 // icount 5274
2936 d420 rol r0, r4, r1 // icount 5275
2938 d681 sll r0, r6, r4 // icount 5276
293a d01f srl r7, r0, r0 // icount 5277
293c deac add r3, r6, r5 // icount 5278
293e d298 rol r6, r2, r4 // icount 5279
2940 ec7c slt r7, r4, r3 // icount 5280
2942 d735 sll r5, r7, r1 // icount 5281
2944 e924 slt r1, r1, r1 // icount 5282
2946 de44 add r1, r6, r2 // icount 5283
2948 d7e9 sll r2, r7, r7 // icount 5284
294a e218 seq r6, r2, r0 // icount 5285
294c d33c rol r7, r3, r1 // icount 5286
294e d17f srl r7, r1, r3 // icount 5287
2950 f1d0 sle r4, r1, r6 // icount 5288
2952 d6c7 srl r1, r6, r6 // icount 5289
2954 dd62 xor r0, r5, r3 // icount 5290
2956 dbdd sub r7, r3, r6 // icount 5291
2958 ee88 slt r2, r6, r4 // icount 5292
295a f2b8 sle r6, r2, r5 // icount 5293
295c dba5 sub r1, r3, r5 // icount 5294
295e d26e ror r3, r2, r3 // icount 5295
2960 db1e xor r7, r3, r0 // icount 5296
2962 d914 add r5, r1, r0 // icount 5297
2964 d3e9 sll r2, r3, r7 // icount 5298
2966 fed8 sco r6, r6, r6 // icount 5299
2968 d3f8 rol r6, r3, r7 // icount 5300
296a d552 ror r4, r5, r2 // icount 5301
296c d801 sub r0, r0, r0 // icount 5302
296e d0ef srl r3, r0, r7 // icount 5303
2970 d03e ror r7, r0, r1 // icount 5304
2972 e890 slt r4, r0, r4 // icount 5305
2974 efa8 slt r2, r7, r5 // icount 5306
2976 d9dc add r7, r1, r6 // icount 5307
2978 df47 andn r1, r7, r2 // icount 5308
297a f918 sco r6, r1, r0 // icount 5309
297c e360 seq r0, r3, r3 // icount 5310
297e d170 rol r4, r1, r3 // icount 5311
2980 e434 seq r5, r4, r1 // icount 5312
2982 e7d0 seq r4, r7, r6 // icount 5313
2984 d086 ror r1, r0, r4 // icount 5314
2986 dc0c add r3, r4, r0 // icount 5315
2988 dc32 xor r4, r4, r1 // icount 5316
298a d294 rol r5, r2, r4 // icount 5317
298c e5c8 seq r2, r5, r6 // icount 5318
298e dff5 sub r5, r7, r7 // icount 5319
2990 d564 rol r1, r5, r3 // icount 5320
2992 ea84 slt r1, r2, r4 // icount 5321
2994 d304 rol r1, r3, r0 // icount 5322
